cleaned_text,predicted_sentiment
hmmm skip grocery store head walmart could potentially leave much,positive
gremlin asleep particularly challenging bedtime think safe go bed crazy sat night,positive
sayid could dead,negative
sad dead,negative
bored,negative
geography revision earthquake boring,negative
yawn ow caught cramp maybe take nap,neutral
yeah mine said thats nice picture gave red x hope get working soon,positive
feel bad everything stupid harsh fault know im sorry savvy love guy,negative
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hr,neutral
get well soon,neutral
lol yeah haha yeah thing okay pretty much slowly sorting everything lol exam coming haha,positive
hello everybody ti cloudy day amanzimtoti today,neutral
got home tillies dance recital lol spectacular,positive
making good time chicago traffic photo httpbkitecomxoi,positive
woke bad dream grrrr,negative
wonder hard concentrate,negative
im eating eggwhites right pan,positive
check httpwwwmyspacecomtherealfunkymonkey guy rock one httpblipfmjkbc,neutral
extremly deep,neutral
kay morning hows day hope youre another lying sun,neutral
nocturnal serendipity kashmir important mean end,positive
hi thanks follow good luck friend ha,positive
gonna release another album already miss,neutral
work gotta till pm enna kodumai sir idhu,neutral
hope studyin went well,neutral
chloe yes youtube may th made feel x better halarious,positive
yeah r im going concert end month,neutral
willie pouting grandma didnt put treat food httpappsfacebookcomdogbookprofileview,neutral
worst headache ever history worst headache today man hate,negative
dream kind bug eye,positive
bored homework done master program friday nite wit nutin,negative
disappointed cadbury chocolate block got smaller,negative
traffic way home traffic light greenim afraidiowe karma big check,positive
tired whyyyyy make stop merm going fun tonight,negative
haha pretty good theyre making something chicken yum,positive
w wowthanks soo much hope well,positive
star trek awesome kirk hot spock cool fun cool sexy definitely worth seeing saw cinerama,positive
fuck dont get gift exited sooo awesome,positive
stressfree way,neutral
getting nerve cant change pic,neutral
better believe wouldnt miss world,positive
cannot sleep hour tossing turning,neutral
get ready tom gotta go make sure he done anything stupid ill tweet later,negative
everyone seems love felt kinda lazy repetative really disappointed,negative
whooop got twitter dang line communication keep growing,neutral
party wiped dead stuff,negative
youre big man embracing tear,neutral
imissu come back home honey,neutral
bad news go take dog walktheyre upset wme,negative
missing lol plaid bud haha cant bg right,positive
star trek grtsat bggeting drunk,negative
watching city brother soccer game totally defited purpose coming hehe,negative
babsi there manual process taking ever outlook database pffff crappy msft product,neutral
sorry,negative
tomorrow hell gone new homei born singleour little puppy basset hound,negative
yay got stuff rygegrejdk perfect taste like banana apple,positive
ok cristal gonna tweet talk latejust follow sweetietweethug ya,positive
ugh unattractive u might well drink regular glass really dont like,positive
going work one suck miss happy hour sonic,positive
car possessed wont stop honking,neutral
hmmm realizedi didnt bday cake birthdayboo hoo,neutral
weird subconscience wonder dream next,negative
devil big brother quiz im busy rocking guitar hero didnt notice thing,positive
id love im way india,positive
oh gosh know happend yesterday,neutral
like taking dog car run errand always excited go anywhere like morning krogers,positive
thanks good tv simple dollhouse,positive
anybody else think win pretty much vista sp,positive
wish company,neutral
yay thanks followfriday failfriday still winning though,positive
yup slowly recovering suck cant eat stuff im craving right gum cant take trip,negative
archie proposes veronica latest archies comic longest known love triangle coming end poor betty,positive
yes thanks change obama start mail ordering,positive
aww cant wait back la,positive
sleep timeee wanted watch gossip girl im way tired goodnight,negative
suck,neutral
add blog cmf ad,neutral
get dinner,neutral
yikeysss im harmless really want attention brody,positive
son get vote today coz grown loving caring soulfull man love mum,positive
good night happy mother day,positive
finished uploading latest chap finally watch new happyslip vid,positive
energy steadily increasing thankfully cough isnt going away,positive
hey change twitter account didnt even tell,neutral
later feel good guilty,positive
drink pm leaving shop medium light coffee frappuccino nom nom nom,positive
ebru thank linkvery coolsee monday,neutral
well hot heck right,positive
wanna go extra show really bad,negative
yes maybe dm though dont annoy follower thought late good night,positive
wish dog,neutral
raining,neutral
gotta say feel bad everyone nkorea theyre starving crazy charge endangers daily,negative
believe ittomorrow night jay lenos last episode tonight show encourage everyone watch welcome conan,positive
shall meet somewhere utah indiana,neutral
tv busted screen turned white nanosecond made quick popping sound,positive
ahhhhh fml classic crime sold,positive
brilliant day today got car washed got washing done go work hour,positive
going chantal aunt,neutral
thank gerbino forcing u starting junior year make survey mockups let tell super helpful skill,positive
wish could play guitar guitar got christmas ago collecting dust need learn haha,positive
kidding ugh one thing know sure wont showing property weekend,positive
lokelani idea,neutral
tropical depression heading east mrsal scared one welcome start hurricane season still looking fl sub,positive
think less tribute parody,negative
dinner grandma since couldnt mum,neutral
came cold cheese sauce good though,positive
wanna know fun way wake panic attack able breath reason sucked,positive
say space time need httpplurkcompxdvj,neutral
grandma place mum celebrating mother day generation th come,neutral
im full subway bomb waiting nd shift start,positive
punch shape card card card card ask people free card,positive
oh jordan im ready next contest baby cant wait kiss brazil love,positive
know right,positive
guess wasnt meant,neutral
sore weight lifting however good kind sore give man move power mind alone,positive
good morning youre early feeling enthused design life thanks manics phrase,positive
decide sprain mine bothering never checked,neutral
exam stressful,neutral
workin la bootay wheres warm weather,positive
rain make good study day almost done,positive
left chocolate egg sitting office calling name,neutral
neighbor cat died really loved,positive
playing club impact tomorrow finally got shirt woopity doo want slurpeeee sooo bad right,negative
say everyone busy httpplurkcomprouv,positive
happy birthday,positive
im still thinking idk,neutral
would totally take promif hadnt already gone sorry lol,positive
oktwitter near exciting thought would,positive
find monday busiest day come work thing cause bos work weekend,neutral
good morning good old germany wanna say hello new york im love really,positive
sunshine figured ended taking cousin work rain anyway hit,neutral
bugger forgot still washing machine,neutral
laiter already discussed today yeaaaaaah,neutral
betta nest think despite heater get chilly night,negative
like able say truth instead magical mystery tour get led,positive
know cant go eitherits sad need come back mi asap haha,negative
ugggh idk wanna stop getting text twitterr ilse,neutral
still cant figure twitter thing cant background pic stick cant seem change profile pic,neutral
week palm pre come centro dy temp phone contact arent transfered yet sadpanda fb,neutral
dont like dentistthey make gum hurt,neutral
people pisssing offf ugh,neutral
writing mother day card mom gran hurray,neutral
got back seeing star strek,neutral
hype friday raining outsideno rain day rainin time kickitmr sun trippin,neutral
laying bed texting good night yall,positive
yearling pet home died sad whole family,negative
today started well,neutral
thats baby little rhythm still sinc inutero,negative
like roll eye im curious hell good singing real treat far im concerned,positive
earth dont none u walk water im nerd trying find way thru life lol,positive
trying thing running online business well running regular business real world,positive
said aj made sensehahaha talking loved picture colin,positive
well look who tweeting,neutral
miss stupid work,negative
always thinking look good place appericiate everyone support every site joined,positive
made card mom cant wait see smile face see,positive
said anyone could write onethose special selected course chosen outstanding,positive
weve never heard anyone say like anything monday morning must early cup coffee two,positive
super excited,positive
retarded thing someone could th know like retarded,negative
revision continues getting bored tired cant wait get interesting thing week half left though,negative
got back rachaels house,neutral
least youll done,negative
stupid msn wont let onnnn,negative
coming hospital today,neutral
one bad daysmigraine today st since neck surgery month,negative
want cookie,neutral
real exciting,positive
yes wrong wireless plan,negative
want go back school sigh poor,negative
chapman whuffaoke night gillette stadium,neutral
oh coming back gig scotland ticket see u last year hosp wit gallstone,neutral
jamie ya honey happend account,neutral
like sound tweet,positive
okay okay sleep realz goodnight wave follower,positive
good morning sunshine tiime chooool lol bbl,positive
lottie one favourite pastime weekend long weekend monday im ice show w gdaughter,negative
dog roscoe died yestarday im sad,negative
work,neutral
tried oprahs free unfried kfc loved went back another try topped boba wolverinechilled popedaveben,positive
nickchien happy break twitter virginity two,positive
wish hadnt teased movie night,neutral
awake man need go sleep gots wake early church tomorow,positive
totally felt bad guy haha im good miss guy,positive
headin homerefreshed mind soul justa lil bitbac reality,neutral
still dealing quite bit pain jump soon lay downvery frustrating thanks asking,negative
head feel sooooooooooo much better,positive
awlll mann meet summa something,neutral
right whole twitter silence experiment last four day murder inability mouth,positive
good take rest,positive
httptwitpiccomjk hey gi look pic frankie took southend gig,neutral
want mouth btch mm jeffree rawks,neutral
cant believe gorgeous weather today ive spend work,positive
okie gonna tweet loosing guy girl,neutral
live live dj jayem bb esr click httpwwwkrisisdnbcomlistenasx,positive
hahah thanks tradewinds odyssey bump,positive
ugh hour,neutral
came back nice bike ride family refreshed thanks shower,positive
always write holy word capital dude allah hafiz,neutral
im really happy u n leigh thnx sharing happiness u mean world u love ya marta,positive
im always little sad see follower really like decide unfollow,negative
tummy ache,neutral
made cake mi madre im goooooddd,neutral
ok im going outsidewish playing basketball oh well,positive
house hunting next year fun,positive
travelled world grew diet everything think still genoese grandma made pasta,neutral
hahah im way lazy check phone ooo michells wtaching recruit,negative
love cant call cause live argentina really really love mitchel,positive
read perhaps background apps,neutral
sad u cancelled silverstone show better see u sandown park,neutral
wow safe trip back home begging please come back bloomington soon,positive
roflmfao love u better dont,positive
listen back around love song meet tomorrow cant go swimming sorry,neutral
beautiful dream im snuggle beautiful baby done outdoors,positive
thank god camera fixed want new ipod,positive
walking class hate bikeespecially mine,negative
hi lisa beautiful pup happy mother day raven rio thor wonderfur mama kittykisses,positive
towel subetha sensomatic guide,neutral
feel like im going cough lung,neutral
lopez love kiss,positive
wish could attend e year small event like nba stanley cup final keep getting way work work work,negative
oh yeah lol,positive
think buck dunno,neutral
boo season finale,neutral
marie lolfrench toast stick,neutral
pool still closed cloudy cook tonight,negative
flippin sweet dude thanks sharing,positive
gonna iphone full,positive
dad feeling well want make soup suggestion guy get well soon ayah,neutral
hello,neutral
dont know mom gave clean macbook white tinted grayish blue black desk,positive
followed u recently please dont offended havent followed back hit limit hopefully free soon,positive
fun see glimpse life,positive
nailing webconcepting zone awarded,neutral
girl ooc sorry keep missing,negative
took math test today day test teacher say bring calculator luke confident teacher decided calcs,positive
hell awake early,positive
ready chill couch watch movie,positive
well guess dependsundergarments,neutral
look background thats want future date like well ever get,neutral
haha maybe someday publicist thats going school,positive
shopping,neutral
old customer service team member,positive
feel rough,negative
ah would explain italian colouring,neutral
totally go amazing he reason bought tix song blood bank,positive
mk mentalityi think,neutral
somehow yet accomplish thing,neutral
aw man half term isnt long enough lol,positive
found thro mama,neutral
twitter born feb today point time may pm gmt tweet including one,neutral
wont able manage night babe lil one depending,positive
gmail,neutral
shiny thanks headsup youre hour ahead,positive
im tantra anyone kirki know sad im drowning sorrow,negative
omg learned little girl played ducky first land time movie murdered age wtf,negative
writing wasnt scrub,neutral
plan weekend include working paper driving guy airport wont see wks,neutral
fun got retweeted bot,positive
think love part saying cynical word even though smile say think bad,negative
back sql final tomorrownew video today,neutral
called retro dear wear fifty fashion sometimesdid see birthday picture,neutral
left school new dress broke strap ripped,positive
redirect energy creating men jewelry frequent walk,positive
actually im supposed w dad cousin cousin trouble though never get together,negative
wish literally could every worldima nymph,neutral
yes clearly relished acting together sparking others performance milking laugh,positive
italy greece love italian men hehe,positive
donbt like peel prawn also dont like going shopping running money crawling round car looking,negative
iam eating pizza want haha,positive
really wish would hear josh,positive
omg thats nightmare,neutral
new project work,positive
breannarose fuuuuuuck idk andy get youuuu,neutral
tried pincode say expired put,neutral
finished mtml assignment didnt like feel like missed lotsa point word limit hmmpph,neutral
ever seen tv show dead like died became grim reaper taking people soul accident,negative
isss boredddd gotta morningg,neutral
everything good except neck shot steves back head shot,positive
find today first kiss,positive
go buy mother mother day gift,neutral
fact apparently first follower um embarrassed,positive
going houston nola weekend want join u,neutral
class really long im really getting hungry,positive
dougie coffee there coffee hahaha name come predicted text pretty awesome,positive
sorry sweetpea almost,negative
way home,neutral
happy mother day everyone great day make sure go see ya momma,positive
spent hour morning going yearbook see senior started harleton speech boring,negative
cant come toniiiite arggh want tho fun us well def see u morrow nite tho,positive
miss,neutral
chillin loooonnnggg day basketball hella tired sleepy time zzzz,negative
finally finished film final well except part idk,neutral
cant direct message free lunch,positive
put tv canuck game score yaay come vancity baby know cant believe im watching hockey either,negative
know short week certainly dragged,positive
hommmmmme good day,positive
miss smile,positive
watching wall street realizing since movie channel wont get potty break,neutral
still hoping job strep look like wont looking around place next couple day,neutral
oh ability teleport,neutral
following cause ordered,neutral
end work thank god accomplished number thing httpplurkcomprpaag,positive
youre welcome,positive
sad kid ungrateful today,negative
happy mother day,positive
already cry movie started like min ago,neutral
boy going movie wish didnt feel like,neutral
apparently im falling apart front eye,positive
penssteigyno politics hunthe obamas watching hockey,neutral
wanna go,neutral
like morningsometimes dont know exactly best dobut def figure happy mom day,positive
oops spent much already lol quid gone,positive
phone acting crazy today missed tweeties update fixed,negative
oooh hangover,neutral
hey arthur forgot say thanks flag proudly displayed bedroom door witty one,positive
thankyou much rock,positive
evening town jeremy sad carrie cant come,negative
finally watched rest guild season always feel sorry hopeful time char,negative
oh make sense well officially first celebrity,positive
waking upahh headache,neutral
truei never like bambu never,neutral
ten hour ago sleeping sorry,negative
eye hurt,neutral
prayin dad wellington fl httplooptusfjqgt via live welly may pray f httpbitlylbsn,positive
rain rain rain go away come back next week im gone via raining lie crazy key,negative
didnt check twitter till thanks everyone congrats really really appreciate fb,positive
definitely although caveat normally read non fictionbut recent year read novel,positive
last wrte againgot bored previous days,negative
gandang mac un ah sure market ma mahal pa sya sa macbook pro ang cool ng concept,positive
daddy leftwithout httpyfrogcompdrmj,neutral
yea feel like im bein ignored,neutral
awesome wish could fly see,positive
two month ago became worthless,negative
ticked cause cant go see drag hell melissa amber staying home friday night thing,negative
gonna go drop log pool back min,neutral
awww boo lovee girly things,positive
trust thats good thing something self thank,positive
andjay hi job,neutral
mood crazii crazii highly upset everything everybody,positive
heartburn may death,neutral
competition around corner take slow least week twisted ankle back jc awfully painful,negative
see jonas brother movie funny one else hahah cant httptinyurlcommagcwo,positive
lol thanks penny im trying believe,positive
life get soo dull sometimes u around x,negative
oh yippee lynz way get celebrate mother day first time mother,positive
sorry mean,negative
ok going sleep real good night twitter land,positive
bet people ideia standard lovely time pair,positive
wweeeeooo snl soon,neutral
loving life lately looking forward going see samantha hanging natalie right,positive
httpbitlymsize go dear love janelle,positive
yes really,positive
watching movie playin computer,neutral
fun httpbitlyplnm,positive
working happy job radio anything physically exhausting,positive
who going tonight want go,neutral
finished watching series return chaser war everything really quite compared used,positive
driving past tattered cover wo stopping promising make time next week,negative
going hong kong tonight hope sleep airplane worth case last g musso read,positive
good luck itdo well best wish,positive
ive picky put mouth hate onion make cry,negative
bigi tokyo fashion spree tmr check sih web,neutral
nice sunny day,positive
morning early travel today game reli happy bro coming watch x,positive
prob hun,neutral
omg shame holliejust watched clip u posted,neutral
absolutely nothing eat house epic fail,negative
thanks brad looking forward chatting btw like new pix,positive
need memorize julius caesar line,neutral
wtf polyvore whats enjoy though,negative
know wrong maybe shouldnt thing like,negative
reminder good speaking havent posture check awhile,positive
heard youre away miss look forward tweeting return,neutral
doesnt understand twitter,neutral
someone family died would heard duhhhhhh,neutral
hey steve think awesome actor love every movie love office,positive
waiting amy go see hannah montanna movie,neutral
bored waiting class start sigh midterm next week,negative
yaaaaaay get see looking forward cupcake fun,positive
safari beta o x crash loop startup back non cookie saving firefox,neutral
nnnnoooooo learned weve got frost warning tonight,neutral
aww poor precious,positive
year,neutral
im work,neutral
oh hope bad,negative
flight home awesome trip cousin miss sophia,positive
dont feel comfortable using awful pretty icky scurrying find deal,negative
cool good know,positive
mom annoyed living outta aol radio looking brook dunn,negative
bom dia good morning guten morgen returning twitter,positive
wow im soo hungover,positive
angel cant dont mm waer nexxt time see,neutral
wait electrik red richgirl im sucker later,negative
oh difficult nut thats market home turf,negative
httptwitpiccomqv forever ethan couldnt,neutral
yea friend flew amercia see w jonas brother u haha hate bebo p aw cant wait,negative
lol gross theyre gross,positive
couldnt get money mikey time trust make sad,negative
greg cried l could got still love greg bgt,positive
hanging bryanthailee possibly lafayette tonight nd dont know keep updating follower,neutral
didnt sleep good last night woke another bellyache whats wrong meeeeeee,positive
day allweb im still tired,negative
buff guyunfortunatly alot people dont know dannys name either sad sophie sweet,negative
read meant toy though,neutral
lost phone,neutral
happy star war day everyone enjoy holiday uk,positive
thanks interview mama enjoy night,positive
miss rich,positive
good day another lindy day today level b free tester olympiou diamanti th floor thessaloniki,positive
symphonic,neutral
get day still aint hit love,positive
working watching snl,neutral
following lol dont paying attention little ol mylan,positive
came bak dancing neewwww cd haha im dancing,positive
boyfriend say something hear accent,neutral
ive got fairly flat route available problem longer fully functional bike ride,positive
read twitter bio love clever cute im smile,positive
holy need see bad gotta wait tomorrow,negative
hard running back forth constantly ya kno workin time havin crazy sleepin schedule must hard,negative
britain got good weather wish,positive
thanks g actual birthday tuesday,positive
going fun night im helping host,positive
got twitter palm,neutral
helping making twitter account,neutral
sorry couldnt help twas try get trending topic,negative
dream better world coming someone could live word dude,positive
tying run nd let hold em raider,neutral
well got home till tmw p comcast right didnt miss,positive
tataindicom good tatasky airtel broadband better,positive
anthem right dont leave high dry httpblipfmfcr,positive
congrats graduate beautiful thing big deal wish cudve attended lil man ryan kdg graduation feel sad,positive
omg seen sun moon place disproves theory person,neutral
mine pool someone elses pocket,neutral
suck im going summer school need catch several unit,neutral
good workive managed turn studio envy productivity,positive
enjoying sunshine park friend pale shirtless footballer attractive im afraid,positive
either way always tend make followfriday list sweetie rock much,positive
house home alone playing guitar guitar hero loud,positive
duckraces bath dont quite work especially duck polar beara seal whale,negative
cut finger,neutral
nice long nap httpplurkcompstvqp,positive
brittany moved,neutral
app finally face truth lack time never able achieve goal life,negative
give easily,positive
watching video youtube bf thinking going bed soon,neutral
comment new myspace picture plz,positive
movie awesome,positive
u really dont right sick newt freezer aweful x,negative
aw okay tht happened wid tooam glad thts nowam helpin ilol thnx postin wmiad loved,positive
forgot live jonas brother facebook,positive
god opened cloud said hate josh,negative
got hospital jimmy really badplease please send good thought im really worried,positive
thats favorite partlolok ill keep stock alot,neutral
hehe never thorw shoe im listening varsity fanclub surprise surprise sway sway baby awesome,positive
venti black ice tea pump classic,neutral
download movie jackass httptinyurlcomcaotku cool movie,negative
wow scary statistic,negative
woop bought elliot minor album itunes finally working,negative
fuuuuuuuudgeee burned finger oil hurt,neutral
person stood world full spineless make sad,negative
much summer hopefully come favor nothing cancelled worked hard,negative
sitting watching britain got f talent watched small girl cry sad,negative
saw fraktastic zoidberg painting tweeted around last week didnt,neutral
okay im back later,positive
great day another one awaits,positive
got messgae didnt work cause text saver like money credit im sad wat xoxo,negative
awful xxxx,negative
haha overheard u yrold mom mom think learn read today,positive
ooo good luck dundee tonight cant co ton uni work,positive
finally shifted twhirl tweetdeck filter close friend update happy monday peep,positive
oh sorry hear abt firefox crashing,negative
man waking suck u go work like min later,neutral
g yup thats watch movie,neutral
might give another go,neutral
cba ohwell might play another innabit,neutral
henrie shoutout holland please got lot fan,neutral
wanted see story acorn tonight glen beck missed,neutral
welcome twitter really cool greeting viennaaustria,positive
brad fasting favorite person hang,positive
live tv coming xbox live uk httptinyurlcomkqah,positive
done ew,neutral
watching new season eleven dvd,positive
bad day,negative
dont count,neutral
miss vlogcandy,neutral
bgt cant watch anymore,neutral
bacoor wahaha may wifi toinks new hair wiih short short httpplurkcompsveoi,positive
getting dinner ready much going life seems,positive
